Job Title,Key Skills,Functional Area
 Hiring for Tech Sales_Inbound voice, Service| Technical support| Issue| Technical| Inbound calls| Bonus| Software,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Walkin Drive .net-6th July @ Bangalore for Cognizant Softvision, mvc| javascript| jquery| asp.net| c#| .net| Entity Framework,"IT Software - Application Programming , Maintenance"
 Team Leader -ASP.Net, PHP| Android| SEO| Facebook| Pharma| Email| Architecture| mbbs| Linkedin| Usage,"IT Software - Application Programming , Maintenance"
 Oracle DBA, java| tomcat| upgrade| functions| configuration| triggers,"IT Software - DBA , Datawarehousing"
 Opening For Software Tester Experience @ Andheri, Software Testing| Manual Testing| QA,IT Software - QA & Testing
 Platform Lead - IT Operations & Development - Payment Bank, IT Operations| Tomcat| JBOSS| SQL Server| DB2| Solution Design| RDBMS| Middleware,"IT Software - DBA , Datawarehousing"
" Quality Analyst Lead,", Call Quality| Training Needs| ISO 9001| Feedback| Quality Analysis| Pareto Analysis| Continuous Improvement| Customer Satisfaction| Process Improvement Initiatives| Lean Six Sigma,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Senior Manager-materials Technology Leader, fabrication| Material Science| Sheet Metal,"Engineering Design , R&D"
 QA ., Drupal| Test case execution| Test scripts| Process orientation| Bug tracking| Tools| Service| Regression testing| Test cases| Firefox,IT Software - QA & Testing
 Supply Planner ( Leading MNC ), Sales| Supply Planning| Supply Chain| FMCG| Demand Planning| SAP| Six Sigma| SCM| JDA| Supply Chain Management| Factory| DCS| supplier| Inventory Management| Order Fulfillment,Purchase / Logistics / Supply Chain
 Html5 Developer, Technical product configuration| design| integration PHP| MySQL| HTML| C| c++| JavaScript,"IT Software - Application Programming , Maintenance"
 Senior Accountant, Senior Accountant,"Accounts , Finance , Tax , Company Secretary , Audit"
 Manager - Demand Planning - Pharma, Inventory Management| Demand Planning| Supply Chain| Operations,Purchase / Logistics / Supply Chain
 Murex Business Analyst, Business Analyst| C++| XML| JSP| PLSQL| Murex| Financial services| Comp| ASP.Net| .Net,"IT Software - Application Programming , Maintenance"
 International Caller Required in UK Call Blocker Process, Help Desk| Customer Service| data analysis| tech support| BPO| voice| customer relationship| cce| inbound| customer service| caller| technical support| voice process| access controls| outbound| uk| calling| non voice| us,"ITES , BPO , KPO , LPO , Customer Service , Operations"
" Urgent Requirement of Senior Project Coordinator, 4 To 6 Years, Noida", requirement gathering| client coordination| senior business analyst| technical consultant| business analysis| wireframing| it project management| project execution| project coordination| project planning,"IT Software - Application Programming , Maintenance"
 National Head- Placements, MIS| Scheduling| Team building| Management| National Head| Training| UPS| OJT,"HR , Recruitment , Administration , IR"
 Hiring For Technical Support Officer, dns| networking| windows troubleshooting| customer support| technical support| active directory| desktop troubleshooting| international voice process| windows server| cloud computing| exchange server| ccna| dhcp,"ITES , BPO , KPO , LPO , Customer Service , Operations"
" HR Executive, HR Recruiter, Walk-in", recruitment| screening| hr| senior management| hr recruiter| recruitment executive| talent acquisition| hiring| head hunting| staffing| HR Consulting| HR Consultant,"HR , Recruitment , Administration , IR"
 Customer Support Executive, English| Customer Service| Customer Support| Telecalling| calling| customer care| Hindi,"Executive Assistant , Front Office , Data Entry"
 International BPO Voice Process Blend Process Call Monish, Bpo Voice| Calling| Voice Process| International BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Role Designation- Technology Analyst, SQL| HTML| WCF| WPF| Application development| CSS3| ASP.Net MVC| Web services| Design development| Technology Analyst| architecture| developer| server| support| level| rest| web| net,"IT Software - Application Programming , Maintenance"
 Senior Software Engineer/ Team Lead - Python/ Django, Python| MySQL| Redis| NoSQL| Django| MongoDB| Postgresql| Data Structures| AWS| Algorithms,"IT Software - Application Programming , Maintenance"
 BPO - Hiring For Australian Process Fix Shifts & OFF - Salary 28K, customer service| voice process| australian| calling| communication skills| customer support| technical process| support| executive| customer representative| cse| csa| cso| cca| tsr| cce| tse| tso| troubleshooting| desktop| remote support| it helpdesk,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Software Engineer - Node.js/ Java/ Python, Java| C++| C| Ruby on Rails| Django| Node.js| Algorithm| Data Structure| Python,"IT Software - Application Programming , Maintenance"
 Urgent Opening For Int. Travel Sales Consultant For Pune Location, Travel Sales Consultant| international bpo| International Call Center| travel counselor| Travel Sales| outbound| Travel Consultant,Other
 HR Fresher trainee, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,"HR , Recruitment , Administration , IR"
 Urgent Requirement for Fullstack Developer for Mumbai Location, JMS| Rest| Websphere Process Server| JSP Servlets| XML| Java Web Services| JDBC| J2Ee| Sax| SOAP,"IT Software - Application Programming , Maintenance"
 Business Development Manager, Corporate finance| Investment banking,"Sales , Retail , Business Development"
 Executive search For Inbound Tech Support Process., Outbound| English| Email| Inbound calls| Domestic BPO| Troubleshooting| Technical support| Recruitment| Comp| International BPO,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Senior Industry Analyst, Telecom| Business Analyst| Cloud| CIO| Security| Analytics| CTO,"Financial Services , Banking , Investments , Insurance"
 EXECUTIVE / Sr.EXECUTIVE (Microbiologist), Pharma| Clinical research| Healthcare| Email| Microbiology| Senior Executive| Manager Quality Control| HRD| MSC| Recruitment,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 opportunities in ITES BPO company with experience callers for US S, Voice process BPO Outbound ITES Night shift Service English windows support Comp Business Executive,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Reference Data Operations - Senior Team Member, Service level| operational support| Financial reporting| project support| Helpdesk| Issue resolution| Risk management| Operations| Project life cycle| Downstream,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Urgent // Equity Dealer // Commodity Dealer // Mumbai, equity trading| commodity trading| relationship management| hni client handling| hni sales| equity broking| Commodity Dealer| Stock Market| Stock Broking| NISM| share trading,"Financial Services , Banking , Investments , Insurance"
 Immediate Hiring For Inbound Technical Support Rep with 20% Hike, Outbound| Customer service| Technical support| Sales| Senior Executive| Inbound calls| Inbound voice process| US shift| Antivirus| Comp,"ITES , BPO , KPO , LPO , Customer Service , Operations"
Process Associate- F&A – P2P,Finance & Accounts,Other
 Unity 3D Game Developer, C++| Android| Javascript| development| C| Opengl| Programming| mobile| mca| Graphics| Computer science| 3D| java| Supervision| deployment,"IT Software - Application Programming , Maintenance"
 Manager Talent Acquisition, leadership hiring| talent acquisition| Human Resource| Lateral Hiring| hr| sourcing| Recruitment,"HR , Recruitment , Administration , IR"
" Receptionist, Front Office Executive, Telecaller", Receptionist| front office executive| Front Office| Receptionist Activities| front desk executive| Telecalling| telemarketing,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Technical Support_rtm L2(active Directory and Exchange Server), Communication Skills| Written Communication| Exchange Server| Windows Server| Technical Support| Educational Qualification| Antivirus| Troubleshooting| Active Directory| Firewall,"IT Software - Application Programming , Maintenance"
 URGENT HIRING For HR MANAGER//ASSISTANT MANAGER//BPO//GURGAON, BPO| Manpower Planning| Communication Skills| International Clients| OD| Human Resource Management| HR| Bulk Hiring| KPO| Recruitment,"HR , Recruitment , Administration , IR"
 Executive - Export & Import, Cargo| Brc| Costing| MIS| DGFT| Freight| EPCG,"Export , Import , Merchandising"
 Project Manager (implementation), Computer science| Project tracking| Version control| Project management| Client coordination| MS Office tools| Manager Quality Control| Business Executive| Monitoring| Core banking,IT Software - Other
 Asp.net, Business process| Analytical skills| Root cause analysis| Issue resolution| ASP.Net| MVC| Outsourcing| Operations| Microsoft technologies| SQL,"IT Software - Application Programming , Maintenance"
 Application support, Application support| Windows| Automation| Production support| microsoft| Unix shell scripting| Analytics| CVS| IT services| Scheduling,"IT Software - Application Programming , Maintenance"
Resident/medical Officer-emergency @fortis Escort Faridabad,trauma|medical officer|General Management|Resident|emergency,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 Salesforce Consultant, PHP| Oracle| jQuery| bca| technical| Database design| developing| test driven development| mca| salesforce| Effective Communication| database| java| web| Analytical| design| asp.net| api| Sales force development| rest| Usage| development| c| Triggers| soap,"IT Software - Application Programming , Maintenance"
 Excellent Opp for Bussiness Development Head in Bangalore, Sales Management| Marketing| Client Retention| Business Development| Market Analysis| Market Research| Business Growth| Region| New Product| Engineering Services| BDE| business development manager,"Sales , Retail , Business Development"
 Area Sales Manager, Customer service| Healthcare| MIS| Diagnostics| Business planning| Supply chain| Procurement| Forecasting| Microbiology| Claims,"Sales , Retail , Business Development"
 System Architect, Office 365| High Availability| Active Directory| Disaster Recovery| Problem Management| Knowledge Management| Business Applications| Cloud Security| Foreign Language| Continuous Improvement| System Architect,"IT Software - Application Programming , Maintenance"
 Associate Vice President - Enterprise Account Management - Marketing, customer marketing| customer acquisition| sales| sales head| key account management| b2b sales| corporate sales| sales planning,"Sales , Retail , Business Development"
 Assistant Manager Operations || 7+ Years || Gurgaon, Assistant Manager Operations| Manager Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Huge Hiring is going in Inbound Tech Support process, Voice process| Outbound| process| Productivity| US shift| Bonus| Technical support,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Oracle, MySQL| Oracle DBA| MS SQL| Recruitment| Tuning| Email| Analytical| CV| SQL DBA| Management,"IT Software - Application Programming , Maintenance"
 R Analyst, Telecom| data science| Healthcare| XML| HTML| Perl| Information management| Data mining| Analytics| SQL,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Graduate Freshers Walkin - 1st July - 5th July&#39, relationship manager| Client Onboarding| Equity Advisory| telesales| dealer| onboarding,"Sales , Retail , Business Development"
 AVP - Internal Auditor (people Management Role), Internal Audit| Internal Control| Accounting| Finance| Avp| Process Efficiency| People Management| SOX| Auditing| Controllership,Other
 Technology Management- Lecturer, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,"Teaching , Education , Training , Counselling"
 ABAP Tech Expert, Consulting| Windows| Monitoring| Performance tuning| operational support| Testing tools| WebDynPro| Information technology| ABAP,"IT Software - Application Programming , Maintenance"
 Senior Software Engineer, Wireless| Network Infrastructure| QOS| WAN| VPN| Solarwinds| Network Support| Call Manager| Cisco Networking| Switching,"IT Software - Network Administration , Security"
Application Developer – SAP ABAP Development,SAP ABAP|Bdc|OO ABAP|Module Pool|Alv|RFC|Testing Tools|System Testing|Business Process|Application Development|SAP ABAP Development,"IT Software - ERP , CRM"
 Windows Administrator || Bangalore Location || Immediate Start, Windows System Administration| windows system admin| windows system administrator,"IT Software - Application Programming , Maintenance"
 Software Developer, Software Developer| java,"IT Software - Application Programming , Maintenance"
 Angular JS- Mumbai Location, CSS| GIT| Front End| Html5| Subversion| Problem Solving| Javascript| Bootstrap| Version Control| JQuery,IT Software - Mobile
 Department Manager Checkout, Customer satisfaction| Customer Service| Help Desk| Information| Telephony support| customer relationship,"Sales , Retail , Business Development"
 Senior Graphic Designer, Mobile Applications| Infographics| Social Media| Graphic Designing,"Design , Creative , User Experience"
 GGN_FAAS_Manager, remediation| Assurance| US GAAP| Accounting| Revenue recognition| GAAP| IFRS| Financial services| Technical support| Auditing,"Accounts , Finance , Tax , Company Secretary , Audit"
 Mid Level Lighting Artist, Animation| Lighting| Compositing| Maya,"IT Software - Application Programming , Maintenance"
 Technical Lead, Telerik| C#.Net| Process Streamlining| Technical Lead| Selenium| Functional,"IT Software - Application Programming , Maintenance"
 Magento Developer | Gurgaon, PHP| Magento| Magento Developer| Ecommerce Development,"IT Software - Application Programming , Maintenance"
 Opening For .Net Developer Fresher Kandivali, C#| ASP.Net| SQL Server| .Net| MVC,"IT Software - Application Programming , Maintenance"
 Director - Business Sales For Cash Mgmt & Payment Solutions Company, b2b sales| key account management,"Sales , Retail , Business Development"
 Web Designers, Graphic designing| CSS| jQuery| Web technologies| Illustrator| html5| Social media| Javascript| PHP| Photoshop,"IT Software - eCommerce , Internet Technologies"
 Sr. Magento Developers, Magento| Programming,"IT Software - Application Programming , Maintenance"
 Urgently Hiring | Associate/ Sr. Exe- Core Accounting | Day Shift, accounts receivable| accounts payable| journal entries| general accounting| accounting| general ledger| banking| bank reconciliation| invoicing| book keeping| International Accounting| taxation| finance| financial statements,"Accounts , Finance , Tax , Company Secretary , Audit"
 Front End Developer - React.js/wireframe/javascript, UI| Image Processing| HTML5| Javascript| React.js| Photoshop| AJAX| CSS3,"IT Software - Application Programming , Maintenance"
 Data Entry Operator, data entry| data entry operators| computer operator| office assistant| back office| clerical work| cts| banking| fresher| B.com,"Executive Assistant , Front Office , Data Entry"
 Immediate opportunity For RedHat PAM or jBPM experience @ Hyd, Java| JavaJ2EE| JBPM| SQL,"IT Software - Application Programming , Maintenance"
"QA Performance – Senior Engineer, Engineer",Performance Testing|Test Strategy|Performance Center|Test Planning|Test Estimation|JMeter|Defect Management|Test Cases|Test Case Design|QA,IT Software - QA & Testing
 Sales & Business Development ( Marketing of Apartments & Villas ), Business Development Manager| Marketing Manager| Real estate| English| CV| Business Executive| WHO| Mail,"Sales , Retail , Business Development"
 Testing & Documentation, Testing| C++| MATLAB| Automotive| Simulink| CGI| Infotainment| qml| 32 bit microcontrollers| HMI,IT Software - System Programming
 Technical Leader/technical Manager, python| orchestration| Linux| telecom domain| product development| design| vmware| openstack| shell scripting| ansible,IT Software - Telecom Software
 Relationship Manager - Mse_liabilities ( Kodambakkam ), Sales| Casa| Financial Services| Relationship Management| Insurance| Finance| Liabilities| Fixed Deposits| Banking| Business Development,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Corporate Sales Manager / B2B Sales Manager, Institutional Sales| corporate sales| corporate selling| institutional selling| Direct Sales| channel sales| retail sales| B2B Sales,"Sales , Retail , Business Development"
 Sales Executive, Due diligence| Brand building| Sales promotion| Sales Executive| Management,"Sales , Retail , Business Development"
 Hiring For Account Assistant, Auditing| Payroll| Risk management| Service| Recruitment| Staffing| Company Secretary| Accounts Executive| Commerce| Law,"Accounts , Finance , Tax , Company Secretary , Audit"
 BPO Jobs For Voice Process with Good Salary Call HR Sonal, Inbound Process| voice| bpo| international bpo| customer care| Calling| Outbound Process| UK Shift| Customer Care Associate| voice process| Bpo Voice| us shift| Call Center| International Voice Process,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 QA Executive - Pharma Industry - Bavla -, Manager Quality Assurance| Pharma| Regulatory affairs| QA| QA Executive,"Production , Manufacturing , Maintenance"
 Operations Manager, operations management| ops management| operations| operations manager| ops manager| loans operations| back office| Back Office Operations| backend operations,"ITES , BPO , KPO , LPO , Customer Service , Operations"
" Easy Process in International BPO - No Target, No Sales, No Pressure", bpo| call center executive| tcs| sutherland| call center| kpo| sales| fresher| voice process| inbound process| international call center| non voice| customer care executive,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Cloud Technology Leader, Networking| SQL| technical| software| tools| research| cloud| Outbound| NoSQL| ui| web| Application programming| devops| design| Monitoring| email| programming| architecture| mobile| Firewall| Computer science| saas| service| Virtualization| applications,"IT Software - Application Programming , Maintenance"
 Assistant Manager Production, AutoCAD| Production Management,"Production , Manufacturing , Maintenance"
 Manager - Analytics - Retail/ Ecommerce/ Telecom/ BFSI Domain, Machine Learning| Analytics| Data Visualization| SQL| Statistics| Statistical Modeling| R| Solution Design| E| Sales| Proposals| Strategic Planning| Project Management,Analytics & Business Intelligence
" Software Engineer(backend,.net, MVC, Webapi)", MVC| ASP.Net MVC,"IT Software - Application Programming , Maintenance"
 Interior Designer, Sketchup| Design Development| REVIT| Concept Design| Photoshop| autocad| Interior Designing,"Architecture , Interior Design"
 Recruiter, Recruitment| Social Networking,"HR , Recruitment , Administration , IR"
 Assistant Manager - Event Operations__mice Company, event production| Client Servicing| event operation| mice| events| conferences| event coordinator,"Marketing , Advertising , MR , PR , Media Planning"
 Finance & Commerce- Dean, Counselor| Teaching| Mentor| Trainer| Advisor,"Teaching , Education , Training , Counselling"
 Business Development Executive, institutions| management| development executive| financial| academics| presentations| research| corporates,"Sales , Retail , Business Development"
 Executive/ Asst. Manager HR, Staffing| Assistant Manager HR| Apr| Technical recruitment| Manpower budgetingFuel| Building| Sharing| talent,"HR , Recruitment , Administration , IR"
 Testing Engineer / Senior Testing Engineer, Html5| Javascript| JQuery| Automation Testing| Android| SQL Database| Regression Testing| Test Scripts| Writing Test Cases| Test Engineering| Selenium| Mobile Testing| Test Plan Creation| Functional Testing| Manual Testing,"IT Software - Application Programming , Maintenance"
 Front Office Receptionist, Reception| Front Office| Receptionist Activities| Administration,"Hotels , Restaurants"
 Opentext Documentum, metadata| SAP| Debugging| Schema| Archiving| Outsourcing| Documentum| Operations| kofax,"IT Software - Application Programming , Maintenance"
 Trainee Engineers, design| c++| C| java| MySQL| JavaScript| HTML| javascript,"IT Software - Application Programming , Maintenance"
"Senior Engineer, ASIC SoC Verification / Emulation",ASIC|C|Axi|Sv|Ddr|SOC Verification|Perl|PCIE|TCL|UVM,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design"
" Staff Engineer, Analog/ RFI Design", EMI| Communication Skills| EMC Design| Analog Design| Design Engineering| Personal Skills| Process Capability| Process Improvement| Cadence Virtuoso| Manufacturing Process,"Engineering Design , R&D"
 HR Executive, Staffing| ESIC| Security management| Monitoring| Talent Acquisition Executive| Housekeeping management| Process documentation| Statutory compliance| Excel| Administration,"HR , Recruitment , Administration , IR"
 PHP Developer, MySQL| PHP| HTML| jQuery,"IT Software - Application Programming , Maintenance"
 RBEI _ Deputy Manager, Risk management| Team management| MS Office| Management| Cost analysis| Payroll Compliance| Powerpoint| Consulting| Advisory,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Transhipment Manager, Origin| Material handling equipments| Data management| MF| Shift Incharge| Time| Document control| closure| Monitoring| Logistics,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 HR Recruiter- Bangalore, Social Networking| Industry Mapping| Real Estate| HR| Recruitment,"HR , Recruitment , Administration , IR"
" MIS Executive,", Excel| power point| ms excel| ms word| ms powerpoint| VLOOKUP| Content Filtering| SUMIF| countif,"IT Software - Systems , EDP , MIS"
 Data Management Developer - Ssis/ssrs, SSIS| SSRS| Technical Training| Data Management| SQL| software development,"IT Software - DBA , Datawarehousing"
 MAC Developer, debugging| multithreading| mvc| c| version control| debugger| xcode| opengl| mac| cocoa| design| oops| developer| ipc,"IT Software - Application Programming , Maintenance"
 Content Marketing Lead, Content Management| Content Marketing| Social Media| Digital Marketing| Social Media Marketing| seo,"Marketing , Advertising , MR , PR , Media Planning"
 Tele Sales Executive, Tele Sales Executive,"Sales , Retail , Business Development"
 Director - Procurement - Bpo/ites, Procurement| Spend Analysis| Vendor Management| compliance| contract management,Top Management
 Urgent Requirement for _RPA Developer_dot net Developers @ Bangalore, VBA| Macros| excel| Rpas| automation anywhere,"IT Software - Application Programming , Maintenance"
 Backend Manager (Female) , Backend Manager | Female| ms office| correspondence| english language| mail| typing speed| backend manager| internet surfing| word| excel powerpoint,"Executive Assistant , Front Office , Data Entry"
 Opening For Relationship Executive a Vibgyor High- Yelahanka, educational marketing| admissions| enrollment| admission| student counselling,"Sales , Retail , Business Development"
 Hiring For Life Insurance- Bancassurance, direct marketing executive| Bancassurance| direct marketing| general insurance sales| insurance broking| sales marketing| life insurance| broking| securities| agency manager| branch banking| direct sales,"Sales , Retail , Business Development"
 Hiring For Banking Jobs - CASA Sales_hyderabad CTC upto 4 LPA, Saving Account| Sales| Casa| marketing executive| Sales Executive| Current Account| Sales Officer,"Sales , Retail , Business Development"
 Cricket- Teacher, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,"Teaching , Education , Training , Counselling"
 Software QA Test Engineer, Test Engineering| Web Technologies| Functional Testing| Regression Testing| Unit Testing| Sanity Testing| User Acceptance Testing| Interface Testing| Smoke Testing,"IT Software - Application Programming , Maintenance"
 Oracle Apps Technical Consultant - Ebs/r12 Modules, Unix| Technical Consultant| PL - SQL| Oracle SOA| SQL| R12| Oracle SCM| XML| Oracle EBS| Oracle Reports| Oracle Forms,"IT Software - DBA , Datawarehousing"
 Market Research Executive, Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management,"Marketing , Advertising , MR , PR , Media Planning"
 UI Developer - React.js & Node.js, javascript| html5| front end| Node.Js| React.Js| jQuery| ExtJS,"IT Software - Application Programming , Maintenance"
 Vacancy for Call Closers for Inbound Tech Support.. Spot Offer, Issue| Spot| Inbound calls| Bonus| Software| Technical support| Night shift,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 web Developer, Web technologies| PHP| SQL| CSS| MySQL| Wordpress| Javascript| HTML| SEO| Off-page optimization,"IT Software - Application Programming , Maintenance"
 OPENING FOR AN EXPERIENCE TESTER @ SEAWOOD, Test Scenarios| Test Data| Automation Testing| Integration Testing| Test Cases| Defect Reporting| Defect Tracking| Test Case Creation| Bug Tracking| System Testing| ISTQB,IT Software - QA & Testing
 RTL Design Engineer, VHDL| Verilog| Debugging| HDL| Timing closure| RF| FPGA| WiMax| WiFi| IPS,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design"
 Secretary, Front desk| Computer Operator| PGDCA| DCA,"Executive Assistant , Front Office , Data Entry"
 Php Developer, Javascript| PHP| XML| ERP| css| technical| analytical| software| wordpress| cms| HTML| tools| coding| web| optimization| MySQL| design| debugging| Ajax| development| testing| Joomla| jQuery| CRM,"IT Software - Application Programming , Maintenance"
 Walk-in Freshers B.tech / B.E / EEE / ECE /EC / CS / EC, MCSA| bca| software| networking| mca| CCNA| telecommunication| system administrator| network administrator| mcse| diploma| electronics engineering| ec| hardware| freshers| network engineer| dns| windows| College| system admin| n+,"IT Software - Network Administration , Security"
 Sr. Data Engineer Human Resources, Unix| Maven| Automation| Linux| Data modeling| Infrastructure management| Agile| Application development| Apache| Information technology,"IT Software - DBA , Datawarehousing"
 Senior Security Engineer - Security Tools/vulnerability, Applications Security| Security| Java| Vulnerability Assessment| Security Testing,"IT Software - Network Administration , Security"
" Area Sales Manager.,,,", Area Sales Management,"Sales , Retail , Business Development"
 Full Stack Architect, Java| java j2ee| Microservices| React.Js| Angularjs| Web Development| architect,IT Software - Other
 Sr. QA Linux porting Engineer, c| software| documents| level| testing| tools| tracking| quality| gis| automation| computer science| optimization| quality assurance| linux| design| scrum| handling| agile| publishing,IT Software - QA & Testing
 Quality Engineer, QC| Quality control| Q.A| Inspection| Quality Engineer| Q.C.| Quality assurance| Quality| Testing,IT Software - QA & Testing
 iOS Developer, C++| C| XML| Analytical| SMS| JSON| Project delivery| IOS| international clients| Business Executive,"IT Software - Application Programming , Maintenance"
 Dotnet Module Lead, C| Web technologies| TDD| html5| Silverlight| Agile development| Unit testing| WPF| JIRA,"IT Software - Application Programming , Maintenance"
 Advocate - Leading Real Estate Legal Advisor Company -, Investigation| Advocate| Legal Advisor| Advisory,"Legal , Regulatory , Intellectual Property"
 Verification & Validation Engineer, LIN| Canalyzer| Validation| Analytical Skills| UDS| Canoe| Automotive| verification,Other
 Urgent Opening for the Position of Sr.technical Consultant, Switching| Juniper| WAN| Security,"IT Software - Application Programming , Maintenance"
 Mean Stack/full Stack Web Developer (male), mongodb| node.js| angularjs| Javascript| html| css| Bootstrap| REST| SOAP,IT Software - Client/Server Programming
 Staff Nurse (ICU), Staff Nurse| Nurses| EMERGENCY| CASUALTY| WARDS| GNM| PCBSC| Healthcare| ICU,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 Tcs Gurgaon is Hiring for Python Developers, L3 Protocols| L2| Python| IP Networking| Microservices,"IT Software - Application Programming , Maintenance"
 Assistant General Manager-Maintenance, General Manager Maintenance| Service| ISO| Printing| Stores| Technical support| Plant operations| Scheduling| Monitoring| Predictive maintenance,"Production , Manufacturing , Maintenance"
 Graphic Designer, Illustrator| Photoshop| Brand building| Corporate marketing| Java| Graphic designing| Brand awareness| HTML| Adobe| MS Office Word,"Design , Creative , User Experience"
 Design Principal Communication Design, Usage| Front end| Illustrator| Process improvement| Consulting| Agile| Design management| Photoshop| Adobe| Visual Design,"Engineering Design , R&D"
 Manager - Sales & Marketing - Real Estate / Property Sales - Ahmedabad, prime| manager| sales| marketing| sales manager| marketing manager| business development| property sales| real estate sales| real estate| construction| property| developers| satellite,"Sales , Retail , Business Development"
 ECF3 _ Linux Test development, UML| Perl| Python| White box testing| Automation testing| GIT| OOAD| Linux kernel| X86| Programming,IT Software - System Programming
 Openbsd Engineer, Javascript| Java EE| Rest| JSON| XML| SOAP| Web Services| PHP| Open Source| Spring| FreeBSD| Linux,"IT Software - Application Programming , Maintenance"
 Company Secretary, company secretary| Compliance| secretarial activities,"Accounts , Finance , Tax , Company Secretary , Audit"
 IOS Developer, Core Data| Cocoa Framework| Swift| Objective C| IOS| Cocoa Touch,IT Software - System Programming
 Sales Engineer - New Delhi, inside sales| cold calling| lead generation| elevators| Business development| sales,"Sales , Retail , Business Development"
 IT Administrator, Networking| Linux| Network operations| Redhat| Basic| server| Windows OS| it| windows| monitoring| Server OS| tools| Monitoring tools| Infrastructure| email,"IT Software - Application Programming , Maintenance"
 ISE - Team Lead - PCB, operations management| Order Management| procurement management| supply chain| team leading| Purchase Management| sourcing management| Order Processing,Purchase / Logistics / Supply Chain
Hiring Lead Java Developers | 5 Openings,Java|Maven|GIT|Docker|MQ|Agile|Spring Framework|SQL Database|MongoDB|Devops,"IT Software - Application Programming , Maintenance"
 Marketing Engineer, Engineering services| Design engineering| Automobile| MIN| Product design| Die casting,"Marketing , Advertising , MR , PR , Media Planning"
 Bioanalytical Research Associate, Method validation| bioanalytical| Research| Research Associate| HPLC,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
" Hiring Retail Educational Counselor (female) for Vepsun, Bangalore", tele - caller,"Sales , Retail , Business Development"
 Senior Manager Account Management - Mumbai, MIS reporting| advertising agency| Online marketing| Social media| Corporate Communication| Account management| Revenue generation| Business Executive| Monitoring| Account planning,"Sales , Retail , Business Development"
 Business Analyst (CRM / Salesforce.com / Zoho), Business Analyst| Business analysis| Salesforce.com| Microsoft Dynamics| Real estate| CRM,"IT Software - Application Programming , Maintenance"
 Business Analyst cum Project Co-ordinator, Business analysis| Project Coordinator| Project planning| Management| Business Analyst| Conceptualization| Business Executive,"IT Software - Application Programming , Maintenance"
 Automation Test Engineer, cucumber| automation testing| selenium| jira| java,"IT Software - Application Programming , Maintenance"
" Data Entry Operator,", data entry operation| organization skills| us healthcare| Data Entry| ms office| typing speed,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Hiring For Female Football Coach, Coaching| Football,"Teaching , Education , Training , Counselling"
 National Sales Manager, Career development| Team management| Pharma| Analytical| Critical care| Business planning| Customer service| microsoft| Key account management| Technical support,"Sales , Retail , Business Development"
 Team Lead Scanning, mis| tat| forms| scanning| attendance management| specification| organization| scanners| case| client,IT Software - Other
 Senior Director - Service Engineering | 23499, Unix| Automation| Project management| Debugging| Javascript| PHP| Perl| Windows| Python,"IT Software - Application Programming , Maintenance"
 ECE- Associate Professor, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,"Teaching , Education , Training , Counselling"
" Auto Cad Designer, 3D Designer", 3ds max| 3d designer| photoshop| corel draw,"Design , Creative , User Experience"
 FEMALE Tele caller, customer relationship| access controls| Vendor Management| Asset Management| Intellectual Property| CRM| Technology,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Graphic Designer, Graphics| Graphic designing| Software design| Project implementation| Illustrator| Social media| Video editing| Budgeting| Photoshop,"Design , Creative , User Experience"
 Python/django Developer, front end| python| django| backend| mysql| javascript| D3.Js,IT Software - Other
 Business Service Manager, Customer service management| MIS preparation| MIS reporting| Electronics| Director| Sales| MIN| HR,"Sales , Retail , Business Development"
